Category: All categories,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel)
12/05/2021,24,100,0,41,39,6,0,0,0,8,0,0,8,0
13/05/2021,31,71,0,40,0,7,0,0,0,10,6,0,5,0
14/05/2021,0,74,0,45,0,8,0,7,0,8,0,0,0,0
15/05/2021,33,76,0,32,0,8,8,0,0,9,0,0,0,0
16/05/2021,29,57,37,38,0,9,0,0,0,5,0,0,0,0
17/05/2021,57,99,0,39,0,9,0,0,0,10,0,0,0,0
18/05/2021,41,76,0,41,0,11,0,6,0,17,6,0,5,0
19/05/2021,27,72,0,38,0,10,9,0,0,9,8,0,0,0
20/05/2021,0,55,0,51,0,5,0,5,0,11,9,0,0,0
21/05/2021,43,61,0,40,0,9,0,0,0,9,6,0,6,0
22/05/2021,50,51,0,62,0,8,0,0,0,7,0,0,9,0
23/05/2021,44,58,0,0,0,10,0,0,0,18,8,0,5,0
24/05/2021,42,62,0,60,21,6,0,5,0,16,5,5,8,0
25/05/2021,34,62,0,47,0,11,5,5,0,23,5,0,8,0
26/05/2021,38,59,22,39,0,7,5,0,0,12,7,0,7,0
27/05/2021,37,66,0,45,0,11,0,8,0,15,6,0,6,0
28/05/2021,41,68,0,56,0,9,0,0,0,11,0,0,0,0
29/05/2021,47,75,33,29,0,0,0,0,0,6,0,0,0,0
30/05/2021,51,83,0,38,0,9,0,0,5,16,8,0,0,0
31/05/2021,59,73,0,57,0,9,0,6,0,12,7,5,9,0
01/06/2021,43,42,0,25,0,6,0,0,0,15,7,0,0,0
02/06/2021,44,46,23,26,0,15,0,6,6,14,0,6,6,0
03/06/2021,52,59,25,33,0,13,0,0,0,13,7,0,7,0
04/06/2021,49,62,0,26,0,17,7,0,0,10,11,0,6,0
05/06/2021,46,71,0,50,0,19,0,0,0,10,0,0,8,0
06/06/2021,48,47,0,0,0,18,0,5,0,16,8,0,5,0
07/06/2021,33,54,0,22,0,17,5,8,6,17,7,9,5,0
08/06/2021,56,55,0,27,0,11,7,0,0,15,7,0,7,0
09/06/2021,29,73,0,0,0,12,0,0,6,12,8,7,7,0
10/06/2021,48,42,0,40,0,12,0,5,0,10,6,0,0,0
11/06/2021,41,50,0,52,0,25,0,9,0,12,0,0,6,0
12/06/2021,44,53,0,45,0,35,0,7,0,11,0,0,0,0
13/06/2021,46,59,0,38,0,17,7,5,0,11,6,0,8,0
14/06/2021,35,58,0,36,0,14,0,0,0,11,5,0,0,0
15/06/2021,50,62,0,38,0,9,0,0,5,18,8,5,0,0
16/06/2021,43,62,0,43,0,9,0,0,0,15,8,0,6,0
17/06/2021,36,53,0,37,0,9,0,0,0,12,7,0,6,0
18/06/2021,48,46,0,61,0,10,0,0,0,10,0,0,7,0
19/06/2021,52,33,0,34,0,7,0,10,0,11,0,0,0,0
20/06/2021,53,62,0,0,0,8,0,0,7,16,5,0,6,0
21/06/2021,43,68,0,39,0,8,0,0,7,7,5,0,6,0
22/06/2021,40,56,0,43,0,13,6,6,0,14,8,0,6,0
23/06/2021,48,57,21,27,0,6,0,5,0,12,7,0,0,0
24/06/2021,45,50,0,30,0,9,0,0,0,14,5,0,0,0
25/06/2021,30,40,0,0,0,8,7,0,0,11,0,0,6,0
26/06/2021,44,59,0,37,0,7,7,0,6,11,0,0,0,0
27/06/2021,45,70,20,51,0,9,0,6,5,14,7,0,5,0
28/06/2021,38,50,0,30,0,80,5,0,0,12,7,0,5,0
29/06/2021,43,43,0,40,0,32,0,7,0,13,9,0,7,0
30/06/2021,65,53,0,45,0,12,0,7,0,17,8,0,0,0
01/07/2021,31,38,0,35,0,7,0,0,0,16,7,0,8,0
02/07/2021,38,47,0,42,0,15,0,0,0,12,0,0,0,0
03/07/2021,53,65,0,46,0,11,0,0,0,12,0,0,0,0
04/07/2021,29,74,0,54,0,9,0,0,0,19,6,0,8,0
05/07/2021,38,64,0,41,0,6,0,5,7,16,5,0,8,0
06/07/2021,41,44,0,34,0,7,0,6,0,11,5,0,5,0
07/07/2021,48,65,0,35,0,9,0,0,0,14,5,0,0,0
